model,game,outcome,round,mean_pct,sd_pct,ci95_lower_pct,ci95_upper_pct,n_runs,n_runs_total,n_observations,value_origin,n_estimated_runs
Llama 3 8B,PD,cooperation,1,12.5,4.166666666666666,2.149426201168561,22.85057379883144,3,3,72,observed,0
Llama 3 8B,PD,cooperation,2,4.166666666666667,7.216878364870322,-13.76105304040059,22.094386373733926,3,3,72,observed,0
Llama 3 8B,PD,cooperation,3,1.3888888888888886,2.4056261216234405,-4.58701768013353,7.364795457911307,3,3,72,observed,0
Llama 3 8B,PD,cooperation,4,0.0,0.0,0.0,0.0,3,3,72,observed,0
Llama 3 8B,PD,cooperation,5,2.7777777777777772,4.811252243246881,-9.17403536026706,14.729590915822614,3,3,72,observed,0
Llama 3 8B,PD,cooperation,6,0.0,0.0,0.0,0.0,3,3,72,observed,0
Llama 3 8B,PD,cooperation,7,1.3888888888888886,2.4056261216234405,-4.58701768013353,7.364795457911307,3,3,72,observed,0
Llama 3 8B,PD,cooperation,8,0.0,0.0,0.0,0.0,3,3,72,observed,0
Llama 3 8B,PD,cooperation,9,0.0,0.0,0.0,0.0,3,3,72,observed,0
Llama 3 8B,PD,cooperation,10,0.0,0.0,0.0,0.0,3,3,72,observed,0
Llama 3 8B,PGG,contribution,1,44.444444444444436,2.1684020827772232,39.05783505644633,49.83105383244254,3,3,72,observed,0
Llama 3 8B,PGG,contribution,2,51.736111111111114,2.396588045380193,45.78265636812594,57.68956585409629,3,3,72,observed,0
Llama 3 8B,PGG,contribution,3,58.611111111111114,4.646035745466036,47.0697185058019,70.15250371642033,3,3,72,observed,0
Llama 3 8B,PGG,contribution,4,67.63888888888889,4.281406289388424,57.003286066225854,78.27449171155192,3,3,72,observed,0
Llama 3 8B,PGG,contribution,5,62.84722222222222,5.401956521415109,49.42801831030562,76.26642613413883,3,3,72,observed,0
Llama 3 8B,PGG,contribution,6,63.125,1.1023963796102438,60.3864955801471,65.8635044198529,3,3,72,observed,0
Llama 3 8B,PGG,contribution,7,61.875,4.7094393981072145,50.17610399010407,73.57389600989593,3,3,72,observed,0
Llama 3 8B,PGG,contribution,8,58.263888888888886,5.714311549214081,44.06875207297165,72.45902570480612,3,3,72,observed,0
Llama 3 8B,PGG,contribution,9,61.805555555555564,6.595760071889057,45.42077922352193,78.1903318875892,3,3,72,observed,0
Llama 3 8B,PGG,contribution,10,61.805555555555564,5.292377467571572,48.65856110370623,74.9525500074049,3,3,72,observed,0
Llama 3 8B,PGG,contribution,11,60.34722222222223,5.9524057539165875,45.56062661346162,75.13381783098284,3,3,72,observed,0
Llama 3 8B,PGG,contribution,12,57.638888888888886,3.7577081273524082,48.30422442009773,66.97355335768003,3,3,72,observed,0
Llama 3 8B,PGG,contribution,13,56.59722222222222,7.768161217669448,37.30003999069232,75.89440445375212,3,3,72,observed,0
Llama 3 8B,PGG,contribution,14,63.26388888888889,1.1846334798077809,60.32109618713283,66.20668159064496,3,3,72,observed,0
Llama 3 8B,PGG,contribution,15,54.44444444444445,6.388511462281624,38.57450219923809,70.31438668965082,3,3,72,observed,0
Llama 3 8B,PGG,contribution,16,54.44444444444445,6.309898162000306,38.76978846310964,70.11910042577927,3,3,72,observed,0
Llama 3 8B,PGG,contribution,17,59.791666666666664,5.8072332769859845,45.3656994825531,74.21763385078023,3,3,72,observed,0
Llama 3 8B,PGG,contribution,18,56.80555555555555,3.134245582332433,49.01965790669317,64.59145320441793,3,3,72,observed,0
Llama 3 8B,PGG,contribution,19,59.09722222222222,7.053655146512759,41.57497146730522,76.61947297713922,3,3,72,observed,0
Llama 3 8B,PGG,contribution,20,61.52777777777779,4.66002751939101,49.951627679207704,73.10392787634788,3,3,72,observed,0
Llama 3 8B,PGG,contribution,21,62.916666666666664,2.602082499332667,56.452735401068935,69.3805979322644,3,3,72,observed,0
Llama 3 8B,PGG,contribution,22,68.68055555555556,4.88733008608692,56.5397545790855,80.8213565320256,3,3,72,observed,0
Llama 3 8B,PGG,contribution,23,65.83333333333333,7.979465834252309,46.0112413350895,85.65542533157716,3,3,72,observed,0
Llama 3 8B,PGG,contribution,24,69.79166666666667,5.940240595576352,55.03529098650808,84.54804234682527,3,3,72,observed,0
Llama 3 8B,PGG,contribution,25,62.15277777777778,3.965636537574786,52.301590503815326,72.00396505174022,3,3,72,observed,0
Llama 3 8B,PGG,contribution,26,55.97222222222223,7.547112827898959,37.22415463183608,74.72028981260837,3,3,72,observed,0
Llama 3 8B,PGG,contribution,27,58.055555555555564,0.7887372702500379,56.09622355788871,60.014887553222415,3,3,72,observed,0
Llama 3 8B,PGG,contribution,28,56.80555555555555,8.074988533416928,36.746172017991654,76.86493909311945,3,3,72,observed,0
Llama 3 8B,PGG,contribution,29,64.30555555555556,3.91053006258364,54.59126035427854,74.01985075683257,3,3,72,observed,0
Llama 3 8B,PGG,contribution,30,64.79166666666667,4.978251310561889,52.42500484768263,77.15832848565071,3,3,72,observed,0
Llama 3 8B,TG,sender,1,50.27777777777778,3.367876570272814,41.9115085811464,58.64404697440916,3,3,36,observed,0
Llama 3 8B,TG,receiver,1,59.81481481481482,8.789958730596906,37.979346847680574,81.65028278194906,3,3,36,observed,0
Llama 3 8B,TG,sender,2,48.88888888888889,0.9622504486493749,46.49852626127993,51.27925151649786,3,3,36,observed,0
Llama 3 8B,TG,receiver,2,56.60493827160494,4.39920390187577,45.67670995741156,67.53316658579831,3,3,36,observed,0
Llama 3 8B,TG,sender,3,48.333333333333336,0.0,48.333333333333336,48.333333333333336,3,3,36,observed,0
Llama 3 8B,TG,receiver,3,47.59259259259259,11.564811108145182,18.86400918993603,76.32117599524915,3,3,36,observed,0
Llama 3 8B,TG,sender,4,49.166666666666664,2.204792759220497,43.68965782696083,54.643675506372496,3,3,36,observed,0
Llama 3 8B,TG,receiver,4,50.27777777777777,4.203540541783766,39.83560419519071,60.71995136036483,3,3,36,observed,0
Llama 3 8B,TG,sender,5,57.77777777777777,2.097176232019658,52.56810321169584,62.9874523438597,3,3,36,observed,0
Llama 3 8B,TG,receiver,5,46.36316872427983,4.213452842378921,35.896371621974446,56.829965826585216,3,3,36,observed,0
Llama 3 8B,TG,sender,6,51.94444444444445,2.6787918780535924,45.28995651832349,58.59893237056541,3,3,36,observed,0
Llama 3 8B,TG,receiver,6,52.083333333333336,10.054826554299039,27.105759504999998,77.06090716166668,3,3,36,observed,0
Llama 3 8B,TG,sender,7,52.22222222222222,2.0971762320196516,47.012547656140306,57.43189678830414,3,3,36,observed,0
Llama 3 8B,TG,receiver,7,49.55687830687831,3.6572758474955878,40.47170145195346,58.642055161803164,3,3,36,observed,0
Llama 3 8B,TG,sender,8,50.833333333333336,1.6666666666666679,46.693103813800754,54.97356285286592,3,3,36,observed,0
Llama 3 8B,TG,receiver,8,62.33024691358025,12.431252423163698,31.44930396529432,93.21118986186617,3,3,36,observed,0
Llama 3 8B,TG,sender,9,50.55555555555555,6.787106512705903,33.69544831388548,67.41566279722562,3,3,36,observed,0
Llama 3 8B,TG,receiver,9,55.0161669606114,9.469912419266342,31.491600393230602,78.5407335279922,3,3,36,observed,0
Llama 3 8B,TG,sender,10,54.16666666666666,2.5000000000000036,47.956322387367784,60.37701094596553,3,3,36,observed,0
Llama 3 8B,TG,receiver,10,58.456790123456784,1.5280115795662463,54.66099893471212,62.25258131220145,3,3,36,observed,0
Llama 3 8B,TG,sender,11,53.611111111111114,5.9121657371646545,38.92447724548421,68.29774497673802,3,3,36,observed,0
Llama 3 8B,TG,receiver,11,63.326719576719576,3.986339957858985,53.42410215566757,73.22933699777158,3,3,36,observed,0
Llama 3 8B,TG,sender,12,53.61111111111111,4.7385339192311005,41.83994030408691,65.3822819181353,3,3,36,observed,0
Llama 3 8B,TG,receiver,12,53.148148148148145,2.9904146422378095,45.71954636168689,60.5767499346094,3,3,36,observed,0
Llama 3 8B,TG,sender,13,54.44444444444445,2.5458753860865735,48.12013938852823,60.76874950036067,3,3,36,observed,0
Llama 3 8B,TG,receiver,13,56.34920634920635,1.1356419064487515,53.52811546238792,59.17029723602477,3,3,36,observed,0
Llama 3 8B,TG,sender,14,56.11111111111111,5.292377467571568,42.96411665926179,69.25810556296042,3,3,36,observed,0
Llama 3 8B,TG,receiver,14,54.41725455614344,5.904994743605426,39.74843442604751,69.08607468623937,3,3,36,observed,0
Llama 3 8B,TG,sender,15,60.555555555555564,6.9887475696717365,43.19454416004568,77.91656695106545,3,3,36,observed,0
Llama 3 8B,TG,receiver,15,55.745884773662546,0.909621539331233,53.48625960441745,58.00550994290764,3,3,36,observed,0
Llama 3 8B,TG,sender,16,53.888888888888886,1.2729376930432856,50.72673636093078,57.05104141684699,3,3,36,observed,0
Llama 3 8B,TG,receiver,16,56.05820105820106,6.847748945227483,39.04744966297372,73.0689524534284,3,3,36,observed,0
Llama 3 8B,TG,sender,17,55.0,2.4999999999999964,48.78965572070115,61.21034427929885,3,3,36,observed,0
Llama 3 8B,TG,receiver,17,58.575837742504405,5.8849440235991315,43.95682636212324,73.19484912288557,3,3,36,observed,0
Llama 3 8B,TG,sender,18,56.944444444444436,0.9622504486493831,54.55408181683545,59.33480707205342,3,3,36,observed,0
